Instructor,Instructor_Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Martani, Claudio",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 30000), ('CM', 58100)]",2,12.0,116,121
"Matson, Eric T.",Professor,Computer Information Tech,"[('CNIT', 32500)]",1,3.0,19,40
"Mcgraw, Tim E.",Associate Professor,Computer Graphics Technology,"[('CGT', 25001), ('CGT', 45001), ('CGT', 52100), ('CGT', 58100)]",4,8.0,334,440
"Mcpherson, Paul B.",Associate Professor of Practice,School of Engineering Tech,"[('MET', 10200), ('MET', 10200), ('MET', 45100)]",3,9.0,122,130
"Mentzer, Nathan",Professor,Purdue Polytechnic Inst Admin,"[('TECH', 62100)]",1,1.0,3,25
"Meoli, Michael T.",Operations Flight Commander,Aerospace Studies,"[('AFT', 36100), ('AFT', 36100)]",2,6.0,29,80
"Merchant, Jason L.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 11000), ('CM', 15000), ('CM', 20000), ('CM', 35000)]",4,25.0,390,419
"Merrick, David D.",Lecturer,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48100), ('ENGT', 48100)]",3,9.0,200,275
"Mickelson, Bert W.",Assistant Professor of Military Science,Military Science,"[('MSL', 30200)]",1,4.0,18,20
"Min, Byung-Cheol",Associate Professor and University Faculty Scholar,Computer Information Tech,"[('CNIT', 42500), ('CNIT', 58100), ('CNIT', 58100)]",2,9.0,34,60
"Mitchell, George G.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 11600), ('AT', 20700), ('AT', 20700)]",3,9.0,66,94
"Morales, Carlos R.",Associate Professor,Computer Graphics Technology,"[('CGT', 14100), ('CGT', 14700), ('CGT', 41201)]",3,8.0,242,334
"Morris, Zachary L.",Professor of Naval Science,Naval Science,"[('NS', 21300)]",1,3.0,13,30
"Mousas, Christos",Associate Professor,Computer Graphics Technology,"[('CGT', 20500), ('CGT', 40500), ('CGT', 44500), ('CGT', 58100), ('CGT', 59700)]",5,9.0,183,385
"Munguia, Ralph",Continuing Lecturer,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48100), ('ENGT', 48100)]",3,9.0,200,275
"Nadig Anantha, Deepak",Assistant Professor,Computer Information Tech,"[('CNIT', 17600), ('CNIT', 48101)]",2,6.0,278,330
"Nanda, Gaurav",Assistant Professor,School of Engineering Tech,"[('IET', 33520), ('IET', 33520), ('IET', 34200)]",3,9.0,61,135
"Nawrocki, Robert A.",Assistant Professor,School of Engineering Tech,"[('ECET', 22700)]",1,3.0,49,60
"Nelson, Christopher M.",Commanding Officer Navy ROTC,Naval Science,"[('NS', 41300), ('NS', 41300)]",2,6.0,22,28
"Nelson, Michael G.",Student,Computer Graphics Technology,"[('CGT', 41201)]",1,2.0,140,200
"Newell, Brittany A.",Associate Professor,School of Engineering Tech,"[('ENGT', 18200), ('ENGT', 18200)]",2,8.0,103,144
"Newton, Kathryne A.",Professor and Interim Associate Dean for Research,School of Engineering Tech,"[('IET', 44500)]",1,3.0,25,30
"Nicholson, Dale C.",Lecturer,School of Engineering Tech,"[('MET', 31700)]",1,3.0,28,30
"Obrien, Kathy M.",Administrative Assistant,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200), ('MSL', 30200), ('MSL', 40200)]",5,14.0,86,128
"Padfield, Jon R.",Assistant Professor,Computer Information Tech,"[('CNIT', 58100)]",1,3.0,2,30
"Panigrahi, Suranjan",Professor,School of Engineering Tech,"[('ECET', 32900)]",1,3.0,28,30
"Park, Cho Hyun",Assistant Professor,Technology Ldrshp & Innovatn,"[('TLI', 35580)]",1,3.0,23,45
"Parsons, Paul",Associate Professor,Computer Graphics Technology,"[('CGT', 49800), ('CGT', 59700)]",2,9.0,17,21
"Patankar, Manoj S.",Raisbeck Engineering Professor AT,Schl of Aviation & Transp Tech,"[('AT', 47500), ('AT', 50500), ('AT', 57300)]",3,9.0,75,117
"Peoples, Timothy R.",Associate Administrative,Purdue Polytechnic Inst Admin,"[('TECH', 58100)]",1,2.0,2,120
"Plain, Craig D.",Professor,Technology Ldrshp & Innovatn,"[('TLI', 45560)]",1,3.0,15,30
"Plaskoff, Joshua A.",Senior Lecturer,Technology Ldrshp & Innovatn,"[('TLI', 11200), ('TLI', 11200), ('TLI', 35530)]",3,9.0,443,617
"Pradhan, Romila",Assistant Professor,Computer Information Tech,"[('CNIT', 39200), ('CNIT', 58100)]",2,6.0,69,92
"Pruim, Douglas E.",Clinical Assistant Professor,Purdue Polytechnic Inst Admin,"[('TECH', 34000)]",1,3.0,31,40
"Pruim, Douglas E.",Clinical Assistant Professor,Technology Ldrshp & Innovatn,"[('TLI', 46000)]",1,3.0,3,40
"Pullen, Keegan C.",Student,Schl of Aviation & Transp Tech,"[('AT', 30702)]",1,3.0,25,42
"Rakita, Milan",Assistant Professor of Practice,School of Engineering Tech,"[('MET', 24500), ('MET', 34600)]",2,6.0,133,164
